Chd1l	6.178618	6.044157	6.350609	6.565898	6.126346
Chd9	4.922483	5.404338	4.853026	4.988553	4.956881
Chuk	7.521911	7.968939	7.03963	7.371852	5.031475
Cirh1a	7.548804	7.422618	7.700269	7.691835	7.338142
Coil	4.41794	4.500482	4.3087	5.053538	4.289306
Cops2	6.085877	6.08503	6.295378	6.407939	5.2306
Cops5	8.361134	8.794768	8.590036	8.631314	7.299935
Crebbp	6.382373	5.863262	6.105001	6.34808	4.898243
Crk	4.264448	4.234499	4.103899	4.123766	4.034233
Crkl	8.227448	8.12491	8.21994	8.480401	6.969092
Cse1l	7.518713	7.557142	7.802221	7.801861	6.902485
Csnk2b	9.461737	9.55152	9.449468	9.911787	8.335481
Ctnna1	9.295248	9.443341	9.599771	9.708635	8.994929
Ctnna2	3.001998	3.00232	2.807492	2.745647	3.027768
Ctnna3	3.832116	3.821204	3.789631	3.678912	4.36125
Ctnnb1	8.44599	8.962814	9.557545	9.962386	7.489448
Ctsg	4.714662	4.522957	4.359515	4.351389	4.994792
Cyp26a1	7.028693	6.905752	6.842378	7.024634	7.049296
Dach1	4.002708	3.825125	3.743425	3.590363	4.66817
Dars	8.992726	8.840333	8.946435	8.795766	7.724636
Daxx	6.53571	6.704871	7.280066	7.482083	6.732253
Dbnl	5.895031	5.998543	7.276587	7.173704	6.434081
Dcc	2.848678	2.840915	2.768218	2.732854	2.917994
Ddx1	4.483649	4.324716	4.454081	4.472535	4.450823
Dek	9.509895	9.365115	10.020195	9.902386	9.468546
Dgcr8	6.17441	6.157305	6.10016	6.213396	6.40633
Dnajb7	3.195705	3.343074	3.267266	3.270849	3.227671
Dnmt1	4.219906	4.058286	5.112504	4.972793	5.269356
Dnmt3a	5.63553	5.284559	5.637551	5.376524	5.248354
Dnmt3b	4.383584	4.141117	4.144833	3.910402	4.400834
Dpep1	4.448865	4.775215	4.270773	4.038674	4.636715
Dusp8	3.36166	3.340483	3.152672	3.134219	3.308917
E2f1	4.548996	4.331715	4.431906	4.128417	4.831134
E2f5	6.05294	6.283576	5.930558	6.152158	5.902147
Ect2	4.025198	4.39718	5.164614	5.695024	4.88683
Eef1a1	12.856734	12.860763	13.004583	13.12504	11.009628
Eef1e1	7.012524	7.090034	7.594072	7.565229	6.31492
Egf	3.610433	4.805708	3.443286	3.286049	3.831284
Egfr	8.620495	8.574507	8.577533	8.665	7.55135
Eif1a	7.503293	7.043626	8.444063	8.562947	8.023442
Eif2s1	8.232673	8.094317	8.926136	8.82611	8.174945
Elp3	4.997654	4.88767	4.730189	4.701014	5.140287
Emd	6.734177	6.66969	6.826786	6.967544	6.879862
Enah	3.119146	2.870385	2.900601	2.811399	2.941184
Ep300	7.36704	7.362403	7.706755	7.639529	7.437994
Epha6	2.795102	2.626607	2.75615	2.695529	2.957079
Ephb2	6.056674	5.948369	5.694524	5.364455	6.094746
Ephb3	4.28278	4.4366	4.159995	4.018883	4.216175
Eprs	7.087898	7.398631	7.39941	7.70312	5.980715
Erbb2	4.438289	4.245247	4.489827	4.055171	4.786853
Ercc1	4.70543	4.493305	4.41811	4.302407	4.562875
Erh	3.951639	3.892803	4.130173	3.970123	4.339262
Esrrg	3.270799	3.883753	3.114786	3.358189	3.243887
Etf1	7.402942	7.345592	7.744163	8.235747	5.918646
Etv6	4.055704	3.868725	3.925512	3.76347	4.343627
Exoc8	5.617414	5.948999	6.004837	6.132464	5.572637
Exosc2	3.662347	3.548864	3.402095	3.34687	3.893999
F11r	5.409095	5.3266	5.294284	5.120763	5.34841
Fancc	5.239742	5.145372	5.017756	5.111058	5.406833
Fbxw7	5.546322	5.539482	5.740498	5.928368	5.384468
Fcer1a	3.24961	3.116066	3.007595	3.011856	3.360423
Fcer1g	6.106531	6.413924	9.370842	9.420206	8.752231
Fcgr1	5.245832	4.976807	5.773355	5.603372	5.617014
Fes	5.557886	5.407652	5.875809	5.873283	5.966019
Fgf4	5.241993	4.878532	4.838484	4.645893	5.35494
Fgfr1	3.850125	3.97333	3.806923	3.735094	4.320683
Fgfr3	4.40351	4.350968	4.193695	4.102841	4.21058
Fgr	5.160869	4.950455	6.998252	6.765919	6.775404
Flna	4.51225	4.614249	6.298768	6.738239	5.163054
Flt3	6.884337	6.87679	6.771831	6.773509	7.063572
Fos	5.07922	5.088368	7.611904	7.668592	6.115665
Foxo1	3.520225	3.557612	3.293119	3.445183	3.580547
Foxo3	4.198011	4.529291	3.912366	4.137927	4.502294
Ftsj3	5.942879	6.307427	6.401611	6.86616	5.492566
Fyb	6.041698	5.840356	8.436543	8.554817	8.216267
Fyn	6.253698	5.917195	7.879719	7.793835	7.026444
Gab1	4.323562	4.320606	3.99444	4.246291	4.191004
Gab2	6.439877	6.222227	6.113252	5.980695	6.560925
Gars	7.796462	7.425003	8.156615	8.442822	7.364661
Gas1	4.110616	3.939639	3.763921	3.502348	4.332059
Gnai1	3.823955	4.493527	3.76776	4.241789	4.016112
